2026-06-22 09:15:57.599 [info] Starting Excalidraw MCP server...
2026-06-22 09:15:57.600 [info] Starting Excalidraw MCP server...
2026-06-22 09:15:57.611 [debug] Connecting to transport...
2026-06-22 09:15:57.613 [info] Excalidraw MCP server running on stdio
2026-06-22 09:15:57.611 [debug] Connecting to transport...
2026-06-22 09:15:57.710 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.710 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.711 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.711 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.711 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.712 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.712 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.712 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.713 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.714 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.714 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.715 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.715 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.715 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.716 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.716 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.716 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.717 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.717 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.718 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.718 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.718 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.719 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.719 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.719 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.720 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.721 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.721 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.721 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.723 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.724 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.724 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.724 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.725 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.725 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.725 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.726 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.726 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.727 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.728 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.728 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.728 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.729 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.730 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.730 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.731 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.731 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.732 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.732 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.733 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.733 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.734 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.734 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.734 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.735 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.735 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-22 09:15:57.736 [error] Uncaught exception: EPIPE: broken pipe, write
